parent,name,display
7656,743,cf. Sarcobatus vermiculatus
280,745,Sarracenia purpurea
281,746,Saxifraga cernua-type
281,747,Saxifraga oppositifolia-type
27603,748,Micranthes stellaris-type
286,749,Selaginella rupestris
286,750,Selaginella selaginoides
9774,751,Typha
1121,752,Typha angustifolia
483,753,Spiraea
313,754,Unknown (alete)
339,755,"Unknown (trilete, foveolate)"
72,756,Cupressaceae cf. Thuja occidentalis
16998,757,cf. Taxus
302,758,Tilia americana
72,761,Juniperus communis/Thuja occidentalis-type
9690,762,Trifolium-type
306,763,Tsuga canadensis
317,764,Vaccinium angustifolium-type
317,765,Vaccinium uliginosum-type
317,766,Vaccinium macrocarpon-type
4952,767,Vaccinium oxycoccos
397,768,Viburnum alnifolium
397,770,Viburnum edule
773,773,cf. Viola
9541,774,Woodsia-type
2191,775,Testate amoebae
9135,776,Loranthaceae
1427,777,Limonium carolinianum
2191,778,Dinoflagellata
9097,779,Meliaceae/Sapotaceae
46,780,Chamaecrista fasciculata-type
1817,781,Cecropia
733,782,Houstonia
481,784,Polygonella polygama-type
256,785,Rhamnus
183,786,Mimosa
778,787,Spiniferites cf. S. bulloideus
778,788,Spiniferites cf. S. mirabilis
778,789,Spiniferites cf. S. ramosus
778,790,Spiniferites undiff.
778,791,Spiniferites elongatus-type
15529,792,cf. Verbenaceae
397,793,Viburnum nudum
397,794,Viburnum opulus
397,795,Viburnum opulus-type
397,796,Viburnum nudum-type
3668,797,Xanthium-type
223,798,Polemonium
676,799,Polypodiophyta (monolete)
5279,800,Pediomelum-type
372,801,Juglans cinerea-type
372,802,Juglans nigra-type
338,803,Acer negundo-type
391,804,Chenopodium-type
460,805,Dracocephalum-type
42,806,Humulus/Cannabis
9562,807,Pteridium
9690,808,Vicia-type
400,809,Zanthoxylum
5664,810,Potamogeton-type
351,813,Campanula
694,814,Chamaesyce
350,815,Ranunculus-type
366,816,Ephedra (simple folds)
366,817,Ephedra (branched folds)
9125,818,Lyonia
1643,819,Smilax
418,820,Achillea-type
445,821,Circaea
413,822,Cirsium/Carduus-type
418,823,Eupatorium-type
9517,824,Bistorta vivipara-type
483,825,Potentilla
9870,826,Sanguinaria canadensis
9515,827,Persicaria hydropiper-type
126,828,Proserpinaca
946,829,Celtis/Maclura
27668,830,Cornus florida
27667,831,Cornus canadensis-type
309,832,Typha latifolia (monad)
509,833,Osmunda cinnamomea-type
83,834,Dryopteris carthusiana-type
234,835,Polypodium
212,836,Pinus banksiana/P. resinosa
9562,837,Dennstaedtia
480,838,Plantago major-type
9541,839,Cystopteris-type
267,840,Rubus cf. R. chamaemorus
45,841,Stellaria-type
9690,842,Ononis-type
483,843,Rosa
9128,844,Micranthes cf. M. punctata
9128,845,Micranthes cf. M. stellaris
5262,846,Melampyrum-type
19368,847,cf. Scheuchzeria palustris
9651,848,Ericales
848,849,Ericales undiff.
680,850,Osmunda regalis
33,851,Botrychium virginianum
2352,852,Diospyros
1398,853,Thuja
9708,854,Claytonia
2640,855,Persea
3122,856,Illicium
29,857,Betula (tree)
2339,858,Ligustrum
7641,859,Araceae
330,861,Alnus rubra
389,862,Populus trichocarpa-type
328,863,Chrysolepis/Lithocarpus
338,864,Acer circinatum
338,865,Acer macrophyllum
2969,866,Garrya
9107,867,Berberidaceae
223,868,Gilia
232,869,Bistorta bistortoides
528,870,Polygonum californicum
282,871,Heuchera
7639,872,Camassia
185,874,Moraceae undiff.
381,875,Myricaceae undiff.
409,876,Asteraceae (high spine)
409,877,Asteraceae (low spine)
9108,878,Bromeliaceae
879,879,cf. Ribes
15529,880,cf. Sapindaceae
22,881,Hydrocotyle-type
92,882,Rhododendron subsect. Ledum-type
9117,883,Myrtaceae
9515,884,Persicaria maculosa-type
236,885,Pontederia
22950,886,Senecio
339,887,"Unknown (trilete, verrucate)"
9515,888,Persicaria amphibia-type
15529,889,cf. Menyanthes trifoliata
815,890,Ranunculus pensylvanicus-type
9541,892,cf. Gymnocarpium
2291,893,Polygonum ramosissimum-type
9084,894,Ceratophyllum
83,895,Dryopteris-type undiff.
404,896,Ranunculaceae (tricolpate) undiff.
210,897,Picea undiff.
420,898,Brassicaceae cf. Brassica
15529,899,cf. Ceanothus
15529,900,cf. Eriogonum
1278,901,cf. Phacelia
15529,902,cf. Sambucus
15529,903,cf. Toxicodendron radicans
268,904,Rumex undiff.
312,905,Indeterminable undiff.
751,906,Typha undiff.
85,907,Elaeagnaceae undiff.
9774,908,Sparganium
