14090,FALSE,"Giglioli, 1874",Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,?Reithrodontomys sp.,,,,,,,,,,,,,,
14085,FALSE,"Bowdich, 1821",Animalia,Vertebrata,Mammalia,?Rodentia,,,,,,,,,,,,,,,,
14081,FALSE,"Pomel, 1848",Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,Talpidae,?Scapanus sp.,,,,,,,,,,,,,
13911,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,?Sciurus sp.,,,,,,,,,,,,,,
26934,FALSE,"Nuttall, 1818",Plantae,Tracheophyta,Spermatophyta,Angiospermae,Mesangiospermae,Eudicotyledoneae,Eudicotyledoneae incertae sedis,?Shepherdia,,,,,,,,,,,,
13512,TRUE,"Gidley, 1922",Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,Sigmodontinae,Sigmodon,?Sigmodon minor,,,,,,,,,,,,
13513,TRUE,"Say & Ord, 1825",Animalia,Vertebrata,Mammalia,Rodentia,?Sigmodon sp.,,,,,,,,,,,,,,,
13497,TRUE,"Lund, 1841",Animalia,Vertebrata,Mammalia,Carnivora,Felidae,?Smilodon sp.,,,,,,,,,,,,,,
13391,TRUE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Lipotyphla,Soricomorpha,?Sorex sp.,,,,,,,,,,,,,,
7081,FALSE,"(Say, 1823)",Animalia,Vertebrata,Mammalia,?Spermophilus lateralis,,,,,,,,,,,,,,,,
13526,FALSE,"(Richardson, 1825)",Animalia,Vertebrata,Mammalia,Rodentia,?Spermophilus parryii,,,,,,,,,,,,,,,
13528,FALSE,"(Sabine, 1822)",Animalia,Vertebrata,Mammalia,Rodentia,?Spermophilus richardsonii,,,,,,,,,,,,,,,
13527,TRUE,"Gustafson, 1978",Animalia,Vertebrata,Mammalia,Rodentia,?Spermophilus russelli,,,,,,,,,,,,,,,
13529,FALSE,"F. Cuvier, 1825",Animalia,Vertebrata,Mammalia,Rodentia,?Spermophilus sp.,,,,,,,,,,,,,,,
13530,FALSE,"(Mitchill, 1821)",Animalia,Vertebrata,Mammalia,Rodentia,?Spermophilus tridecemlineatus,,,,,,,,,,,,,,,
7082,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Mammalia,?Spilogale putorius,,,,,,,,,,,,,,,,
13503,TRUE,"Pohlig, 1912",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Stegomastodon sp.,,,,,,,,,,,,,,
7083,FALSE,unknown,Animalia,Vertebrata,Mammalia,?Sus scrofa,,,,,,,,,,,,,,,,
13623,FALSE,"(Bachman, 1837)",Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,?Sylvilagus nuttallii,,,,,,,,,,,,,,
7084,FALSE,"Gray, 1867",Animalia,Vertebrata,Mammalia,?Sylvilagus sp.,,,,,,,,,,,,,,,,
13789,FALSE,"Baird, 1858",Animalia,Vertebrata,Mammalia,Rodentia,Cricetidae,?Synaptomys sp.,,,,,,,,,,,,,,
14080,FALSE,"Illiger, 1811",Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,?Tamias sp.,,,,,,,,,,,,,,
7085,FALSE,"(Linnaeus, 1758)",Animalia,Vertebrata,Mammalia,?Tamias striatus,,,,,,,,,,,,,,,,
7086,FALSE,"(Erxleben, 1777)",Animalia,Vertebrata,Mammalia,?Tamiasciurus hudsonicus,,,,,,,,,,,,,,,,
13770,FALSE,"BrÃ_nnich, 1771",Animalia,Vertebrata,Mammalia,Perissodactyla,Tapiridae,?Tapirus sp.,,,,,,,,,,,,,,
13772,TRUE,"Lull, 1921",Animalia,Vertebrata,Mammalia,Artiodactyla,Antilocapridae,?Tetrameryx sp.,,,,,,,,,,,,,,
13628,FALSE,"Wied-Neuwied, 1839",Animalia,Vertebrata,Mammalia,Rodentia,?Thomomys sp.,,,,,,,,,,,,,,,
13802,TRUE,"Barbour & Schultz, 1934",Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Titanotylopus sp.,,,,,,,,,,,,,,
13848,FALSE,"Baird, 1857",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Urocyon sp.,,,,,,,,,,,,,,
13847,FALSE,"Fischer de Waldheim, 1817",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Ursidae,,,,,,,,,,,,,,
7784,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Ursus,,,,,,,,,,,,,,
13494,FALSE,"Pallas, 1780",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Ursus americanus,,,,,,,,,,,,,,
13495,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Ursus sp.,,,,,,,,,,,,,,
